symbol,series,method,rank,period_ticks,frequency,power
EXT_2,abs_returns,periodogram,5,11.28762886597938,0.08859256553109873,0.0002765504716541936
EXT_2,returns,acf_peaks,1,783.0,0.001277139208173691,0.03694936374139721
EXT_2,returns,acf_peaks,2,266.0,0.0037593984962406013,0.036215028626381644
EXT_2,returns,acf_peaks,3,1251.0,0.0007993605115907274,0.03436100971450927
EXT_2,returns,acf_peaks,4,8.0,0.125,0.032942824900613274
EXT_2,returns,acf_peaks,5,214.0,0.004672897196261682,0.03286839706207165
EXT_2,abs_returns,acf_peaks,1,265.0,0.0037735849056603774,0.030715979051116945
EXT_2,abs_returns,acf_peaks,2,33.0,0.030303030303030304,0.0302705686985005
EXT_2,abs_returns,acf_peaks,3,804.0,0.0012437810945273632,0.030072090376452486
EXT_2,abs_returns,acf_peaks,4,111.0,0.009009009009009009,0.028846383324795825
EXT_2,abs_returns,acf_peaks,5,1524.0,0.0006561679790026247,0.02746967086007023
