symbol,series,method,rank,period_ticks,frequency,power
COMP_8,abs_returns,periodogram,5,11.334368530020704,0.08822723536396018,0.00025377469436928994
COMP_8,returns,acf_peaks,1,464.0,0.0021551724137931034,0.03324568736817697
COMP_8,returns,acf_peaks,2,499.0,0.002004008016032064,0.03277946704409648
COMP_8,returns,acf_peaks,3,824.0,0.0012135922330097086,0.03223786529764383
COMP_8,returns,acf_peaks,4,733.0,0.001364256480218281,0.032029475063411465
COMP_8,returns,acf_peaks,5,688.0,0.0014534883720930232,0.03183138071935688
COMP_8,abs_returns,acf_peaks,1,193.0,0.0051813471502590676,0.033891822168279254
COMP_8,abs_returns,acf_peaks,2,536.0,0.0018656716417910447,0.03298088244286424
COMP_8,abs_returns,acf_peaks,3,1441.0,0.0006939625260235947,0.031798092095101566
COMP_8,abs_returns,acf_peaks,4,25.0,0.04,0.030425364879209972
COMP_8,abs_returns,acf_peaks,5,1861.0,0.0005373455131649651,0.02819003834983438
COMP_9,returns,periodogram,1,5.279170684667309,0.18942369166133893,0.00019677141133104262
COMP_9,returns,periodogram,2,6.120178870877586,0.16339391725271712,0.00018323745515842643
COMP_9,returns,periodogram,3,5.154896421845574,0.19399031875057082,0.00016628068618057852
COMP_9,returns,periodogram,4,5.179280983916746,0.19307699333272443,0.00016598906199464253
COMP_9,returns,periodogram,5,5.013278388278389,0.1994702712576491,0.0001655452717689226
COMP_9,abs_returns,periodogram,1,9.185402684563758,0.10886838980728833,0.00017910379657512916
COMP_9,abs_returns,periodogram,2,8.29469696969697,0.12055895515572199,0.0001790731152779283
COMP_9,abs_returns,periodogram,3,17.406995230524643,0.057448168782537216,0.00017873477296649867
COMP_9,abs_returns,periodogram,4,42.60311284046693,0.02347246323865193,0.00016278595093545043
COMP_9,abs_returns,periodogram,5,5.154896421845574,0.19399031875057082,0.0001586707730972638
COMP_9,returns,acf_peaks,1,357.0,0.0028011204481792717,0.034999879922706846
COMP_9,returns,acf_peaks,2,1145.0,0.0008733624454148472,0.03294349158304697
COMP_9,returns,acf_peaks,3,716.0,0.0013966480446927375,0.03244119979800624
COMP_9,returns,acf_peaks,4,1370.0,0.00072992700729927,0.03110923000033082
COMP_9,returns,acf_peaks,5,26.0,0.038461538461538464,0.031064453835484465
COMP_9,abs_returns,acf_peaks,1,1655.0,0.0006042296072507553,0.03037414333661576
COMP_9,abs_returns,acf_peaks,2,1782.0,0.0005611672278338945,0.030013054129683858
COMP_9,abs_returns,acf_peaks,3,1478.0,0.0006765899864682003,0.027565502683988143
COMP_9,abs_returns,acf_peaks,4,947.0,0.0010559662090813093,0.02690077061169546
COMP_9,abs_returns,acf_peaks,5,1444.0,0.0006925207756232687,0.02653248485616545
EXT_0,returns,periodogram,1,5.23124701385571,0.19115900995524704,0.0002834436218946442
EXT_0,returns,periodogram,2,5.741478762454117,0.1741711571833044,0.0002673578674410578
EXT_0,returns,periodogram,3,5.064292321924144,0.19746095533838706,0.00022570975881708265
EXT_0,returns,periodogram,4,5.179280983916746,0.19307699333272443,0.000202027932997918
EXT_0,returns,periodogram,5,5.001827318410233,0.1999269339665723,0.0001851362242973053
EXT_0,abs_returns,periodogram,1,23.002100840336137,0.04347428988948762,0.00026075219708534544
EXT_0,abs_returns,periodogram,2,21.55314960629921,0.046396931226596036,0.00017451373454560858
EXT_0,abs_returns,periodogram,3,9.496097137901128,0.10530642067768746,0.00017389889841867468
EXT_0,abs_returns,periodogram,4,10.538017324350337,0.09489451091423874,0.00017074063011641413
EXT_0,abs_returns,periodogram,5,8.981952420016407,0.11133436843547355,0.0001691748788431474
EXT_0,returns,acf_peaks,1,990.0,0.00101010101010101,0.036624145891567234
EXT_0,returns,acf_peaks,2,1847.0,0.0005414185165132648,0.035235854546656245
EXT_0,returns,acf_peaks,3,151.0,0.006622516556291391,0.03414465189016169
EXT_0,returns,acf_peaks,4,1823.0,0.0005485463521667581,0.032924210753494824
EXT_0,returns,acf_peaks,5,1433.0,0.0006978367062107466,0.03218340659353147
EXT_0,abs_returns,acf_peaks,1,1149.0,0.0008703220191470844,0.03188587233183884
